tcp.analysis.ack_rtt,ip.dsfield.ecn,throughput
9.73e-05,1,341989.5069
0.000288192,1,3259334.615
6.38e-05,1,133833.386
0.000193622,0,4070942.118
1.75e-05,0,110217.116
0.000184572,1,3733588.725
2.08e-05,1,1670226.992
0.000123989,1,6016656.772
5.59e-05,1,220492.4765
0.000121387,0,169156.165
5.62e-05,1,208263.364
0.000180279,1,5004293.874
6.96e-05,1,223200.2129
0.000241203,1,3630021.77
0.000444284,0,2599286.986
5.1e-05,1,1497280.146
4.94e-05,1,1408636.004
6.65e-05,1,192161.9454
0.000192031,0,4202262.831
0.000305716,1,5475409.406
2.23e-05,0,179261.1714
0.000198159,1,3536818.508
4.02e-05,1,3498991.572
4.79e-05,1,1394377.036
2.21e-05,0,164360.4358
0.000194852,1,3609994.063
0.000149648,0,184272.9666
5.54e-05,1,217126.7377
0.000179781,1,5013880.644
0.00025641,1,8128092.224
5.49e-05,1,232004.7599
0.000170683,0,4566170.128
2.4e-05,0,168820.8959
0.000149094,1,4985229.897
0.000210584,1,10105195.74
2.99e-05,1,3532045.474
3.48e-05,1,442850.3716
1.19e-05,0,267980.7009
3.46e-05,0,45146.0128
0.00027091,1,2638352.516
0.000407854,1,4551731.645
5e-05,1,2593900.591
7.31e-05,1,276022.537
1.91e-05,0,64797.74445
1.26e-05,0,168923.914
4.69e-05,1,1467065.973
5.54e-05,1,181111.7359
4.86e-05,1,158958.1352
0.000163433,0,4594590.274
0.000307884,1,4326025.944
1.57e-05,0,54713.71954
0.000178112,1,3837603.66
0.000261677,1,7477844.846
0.000385852,1,5023504.215
4.53e-05,1,3138184.288
2.02e-05,0,92432.59368
6.28e-05,1,184403.9806
0.000177163,0,4623366.413
4.53e-05,1,251078.8273
0.000167646,1,5091917.696
1.36e-05,0,342022.0096
0.000162516,1,4187593.114
1.64e-05,0,126101.3844
4.64e-05,1,175148.6111
0.000165469,1,5234491.392
4.35e-05,1,710435.8567
4.96e-05,1,335716.4823
1.25e-05,0,142481.6645
0.000278689,0,1980851.979
2.18e-05,1,1156538.089
1.67e-05,1,1136944.264
2.49e-05,1,165837.3904
0.00013205,0,4921316.693
0.000245171,1,5521615.392
1.34e-05,0,355016.4335
3.98e-05,1,153135.9017
3.07e-05,1,238126.2575
2.11e-05,1,155547.7057
0.000135662,1,5441259.243
1.24e-05,0,568719.1864
5.35e-05,1,108527.3551
0.000164147,1,5640615.724
0.000230704,0,7966160.115
2.31e-05,1,244123.281
0.00014072,1,5298068.211
1.45e-05,0,151694.8087
0.000193516,0,2944936.851
1.89e-05,1,223486.0982
0.000131807,1,5521615.392
0.000206676,1,8308716.495
2.03e-05,1,1734423.92
1.17e-05,0,147384.0351
